last_name, first_name,player_id,year,p_total_pa,p_strikeout,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,
Cease, Dylan,656302,2020,255,44,97.5,2521,-4.4,-13,83.6,2772,7.1,-46.9,
Coonrod, Sam,656322,2020,71,15,98.4,2406,-11.2,-12.6,87.8,2697,7.5,-36.7,
Flaherty, Jack,656427,2020,170,49,94,2199,-5.8,-15.9,82.1,2369,8.5,-42.7,
Ginkel, Kevin,656464,2020,79,18,95.5,2387,-10.3,-13.7,84,2225,3.3,-39.8,
Hoffman, Jeff,656546,2020,104,20,94.4,2425,-9.9,-15.4,77.7,2541,9.3,-57.8,
Holder, Jonathan,656547,2020,101,14,92.1,2399,-3.3,-15.4,79.9,2780,8,-53.2,
Houck, Tanner,656557,2020,63,21,92.8,2066,-5.6,-23.9,82.2,2476,13.9,-40.7,
Keller, Mitch,656605,2020,87,16,93.9,2327,-7.1,-14.3,82.8,2507,5.9,-44.5,
Martin, Brett,656685,2020,61,8,93.9,2261,5.9,-14.8,86.3,2182,-1.4,-35.2,
Montgomery, Jordan,656756,2020,193,47,92.6,2301,6.8,-15.8,80.5,2280,-1.3,-45.2,
Nelson, Nick,656793,2020,90,18,96.3,2092,-7.7,-12.5,82.9,2663,10.6,-46.9,
Newcomb, Sean,656794,2020,70,10,93.4,2307,4.4,-14.6,77.9,2838,-10.1,-60.1,
Peterson, David,656849,2020,205,40,92.1,2098,11.4,-18.3,80.7,2178,-6.9,-44.3,
Rasmussen, Drew,656876,2020,71,21,97.6,2454,-6.4,-10.8,84.9,2721,4.1,-45.2,
Scott, Tanner,656945,2020,86,23,96.5,2657,4.1,-14.7,88.3,2778,-5.2,-36,
Sheffield, Justus,656954,2020,232,48,92.9,1891,8.1,-18,81.8,2503,-5.7,-42.1,
Smeltzer, Devin,656970,2020,72,15,87.5,2397,8.9,-19,75.9,2392,-8.8,-50.7,
Thompson, Ryan,657044,2020,114,23,92.8,2121,-15.5,-26.3,76.5,2158,17.2,-38.5,
Toussaint, Touki,657053,2020,120,30,94,2293,-7.7,-16.7,78.1,2469,11,-55.5,
Wright, Kyle,657140,2020,168,30,94.7,2425,-10.9,-16.8,86.1,2589,6.1,-35.5,
Yamamoto, Jordan,657141,2020,67,13,89.7,2319,-5.4,-18.9,76.5,2831,15,-56.8,
Merryweather, Julian,657240,2020,55,15,96.7,2324,-7.1,-12,83.4,2376,3.5,-48.5,
Webb, Logan,657277,2020,246,46,93,2118,-8.8,-19.2,81.5,2712,12.2,-42.4,
Ferguson, Caleb,657571,2020,75,27,95.5,2267,9.6,-13.3,,,,,
Hill, Cam,657611,2020,72,16,92.1,2301,-3.9,-14.8,82.2,2655,9.7,-45.2,
Hill, Tim,657612,2020,79,20,91.4,2235,18.3,-28.6,80.3,2031,0.5,-38.7,
James, Josh,657624,2020,83,21,96.3,2307,-8.1,-13.9,85,2596,8.7,-42.3,
Lamet, Dinelson,659275,2020,267,93,97,2495,-6.2,-12,86.5,2616,4.3,-34.4,
Paredes, Enoli,660600,2020,90,20,95.7,2396,-3.1,-13.5,84.9,2894,9.8,-36.9,
Ynoa, Huascar,660623,2020,100,17,94.8,2061,-9.4,-14.7,86,2297,1.1,-38.3,
Graterol, Brusdar,660813,2020,88,13,98.8,2017,-8.8,-13.7,89.1,2477,7.1,-29.1,
Alcala, Jorge,660896,2020,94,27,96.9,2400,-7.5,-12.1,88.6,2427,3.7,-30.8,
Lopez, Yoan,661255,2020,87,16,95.4,2092,-4.3,-14.6,85.7,2460,6.1,-38.4,
Rainey, Tanner,663432,2020,75,32,96.6,2457,-6.2,-11.8,87.1,2407,4.1,-38.3,
Bubic, Kris,663460,2020,222,49,91.4,2180,6,-16.3,78.5,2570,-10.1,-56.3,
Allard, Kolby,663465,2020,152,32,91.5,2171,8.7,-16.2,76.7,2031,-5.2,-56.8,
McKenzie, Triston,663474,2020,127,42,92.8,2336,-4.3,-11.7,83.5,2196,4.4,-39.1,
Mize, Casey,663554,2020,133,26,93.7,2245,-10.8,-16.4,80.8,2322,10,-49,
Woodford, Jake,663765,2020,85,16,92.7,2266,-5.2,-17.7,80.9,2435,6.8,-50.9,
Sandoval, Patrick,663776,2020,159,33,92.8,2021,5.1,-16.3,83.2,2584,-6.7,-39.9,
Pearson, Nate,663878,2020,81,16,96.3,2306,-6.3,-11.3,83.4,2607,7.3,-43,
Singer, Brady,663903,2020,263,61,93,2199,-8.2,-19.2,83.1,2389,4.8,-41.1,
Paddack, Chris,663978,2020,245,58,94.1,2170,-9.8,-14.7,76.9,2096,5.8,-62.6,
Lakins Sr., Travis,664042,2020,116,25,93.2,2227,-4.2,-16.3,80.6,2727,11.5,-54.3,
Eshelman, Thomas,664045,2020,143,16,86,1865,-0.3,-24.2,77.3,1818,7.8,-46.6,
Stashak, Cody,664054,2020,57,17,91.9,2234,-6.5,-13.3,82,2255,8.7,-35.2,
Gonsolin, Tony,664062,2020,176,46,95.1,2489,-9.4,-12.2,86,2735,4.1,-39.3,
Ponce, Cody,664074,2020,66,12,93.2,2516,-9.3,-15.6,78.3,2270,7.9,-55.6,
Fairbanks, Pete,664126,2020,117,39,97.4,2432,-0.3,-12,87.2,2380,2.9,-40.5,
Hartlieb, Geoff,664129,2020,101,19,93.1,2355,-10.6,-24.4,82.7,2238,11.9,-42.3,
Gibaut, Ian,664139,2020,59,14,95.2,2053,-5.7,-14,86.6,2275,6.9,-33.1,
Brubaker, JT,664141,2020,205,48,93.5,2256,-8,-16.7,85.5,2700,3.6,-38,
Hall, Matt,664180,2020,54,9,88,2309,1.7,-22.1,75.8,2477,-10.5,-64.7,
Clarke, Taylor,664199,2020,183,40,94.3,2336,-5.4,-12.6,84.5,2311,4.7,-39.3,
Maton III, Phil,664208,2020,96,32,93.5,2458,-0.5,-17.5,76.7,2943,17.9,-57.6,
Valdez, Framber,664285,2020,288,76,93.2,2306,2,-20.7,80.5,2982,-13.2,-56.2,
Javier, Cristian,664299,2020,214,54,92.2,2364,-7,-14.1,78.3,2626,12.5,-43.6,
Sanchez, Sixto,664350,2020,158,33,98.5,2164,-10.3,-14.8,85.8,2455,8.1,-38.1,
Urquidy, Jose,664353,2020,116,17,93.1,2216,-7.5,-12.1,78.1,2574,13.4,-51.3,
Newsome, Ljay,664714,2020,68,9,91.4,2078,-8.2,-16.6,77.1,1978,5,-47.9,
Helsley, Ryan,664854,2020,52,10,96.9,2534,-3.2,-13.4,80.5,2538,3.9,-54.4,
Misiewicz, Anthony,664948,2020,83,25,94,2328,8.6,-14.3,81.9,2828,-11.1,-44.3,
Kremer, Dean,665152,2020,83,22,92.8,2321,-9.2,-13.6,75.5,2351,9.3,-64.1,
