last_name, first_name,player_id,year,p_total_pa,p_strikeout,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,
Armstrong, Shawn,542888,2020,57,14,93.6,2479,-4.5,-13.5,82,2839,12.7,-46.5,
Bass, Anthony,542914,2020,100,21,91.8,2146,-3.7,-13.9,85.8,2264,4.8,-37.5,
Bleier, Richard,542947,2020,67,11,90,2097,8.4,-21.6,78.7,1920,-5.1,-45.5,
Brach, Brad,542960,2020,58,14,90.3,2183,-6.1,-19.3,81.1,2514,7.5,-41,
Chatwood, Tyler,543022,2020,86,25,94.7,2483,-3,-16.9,80.3,2977,9.8,-54.2,
Cole, Gerrit,543037,2020,288,94,96.7,2505,-12.2,-11.5,86.5,2672,6.9,-39.2,
DeSclafani, Anthony,543101,2020,158,25,94.8,2225,-7.6,-14.1,85.1,2123,4.8,-40.6,
Eovaldi, Nathan,543135,2020,199,52,97.3,2121,-10.9,-14.9,79.6,2110,8.6,-50.9,
Gray, Sonny,543243,2020,235,72,93,2521,-2,-16.1,81.6,2906,15.8,-51.2,
Hand, Brad,543272,2020,86,29,91.4,2453,11.9,-17.7,79.5,2384,-15.8,-44.6,
Hendricks, Kyle,543294,2020,315,64,87.4,1972,-5.7,-20.7,72.1,2810,14.3,-66.3,
Hudson, Daniel,543339,2020,92,28,96.4,2341,-9.8,-12.6,84.9,2476,3.3,-37.3,
Lyles, Jordan,543475,2020,266,36,92.3,2145,-7.7,-14.5,81.5,2459,5.7,-50.7,
May, Trevor,543507,2020,96,38,96.3,2397,-7.1,-12.8,85.3,2506,4.8,-40.7,
Milone, Tommy,543548,2020,181,40,86.1,2191,8.2,-18.3,78.3,2290,-3.8,-41.3,
Odorizzi, Jake,543606,2020,60,12,93,2238,-11,-16,82.3,2090,6.1,-39.9,
Roark, Tanner,543699,2020,220,41,90.7,2080,-3.9,-15.3,79.2,2445,6.9,-47.1,
Turley, Nik,543867,2020,92,20,94.2,2536,6.7,-15,76.6,2815,-12.2,-63.1,
Vincent, Nick,543883,2020,92,17,89.1,2336,-5.2,-17.5,82.8,2467,5.4,-36.7,
Weber, Ryan,543901,2020,185,27,87.3,2114,-9.2,-28.2,76.8,2309,17.3,-53.8,
Familia, Jeurys,544727,2020,120,23,97.2,2298,-11.5,-15.1,89.6,2317,-0.8,-26.9,
Diaz, Jairo,545064,2020,106,17,95.2,2170,-3.8,-17.1,85.2,2350,1.7,-40.2,
Bauer, Trevor,545333,2020,278,100,93.5,2776,-9.1,-11.6,80.2,2939,13.3,-54.2,
Lorenzen, Michael,547179,2020,147,35,96.8,2536,-10.9,-12.7,84.3,2504,7.6,-43.6,
Tanaka, Masahiro,547888,2020,197,44,92.3,2235,-9.4,-15.3,82.8,2295,3.5,-38,
Kim, Kwang Hyun,547942,2020,154,24,89.9,2157,0.4,-18.3,79.7,2145,-5.2,-43.7,
Ryu, Hyun Jin,547943,2020,275,72,89.8,1996,9.6,-20.4,72.4,2539,-13.1,-66.5,
Raley, Brooks,548384,2020,84,27,90.1,2405,5.6,-19.4,80.6,2878,-14.7,-41.1,
Stripling, Ross,548389,2020,220,40,91.7,2275,-5.1,-14.3,81.4,2594,4.4,-50.2,
Garcia, Yimi,554340,2020,60,19,94.4,2569,-6.7,-18,86.3,2616,6.7,-34.9,
Wheeler, Zack,554430,2020,288,53,96.9,2336,-5.8,-15,86,2485,6.8,-40.6,
Matzek, Tyler,554431,2020,121,43,94.3,2356,3.7,-13,81.9,2943,-8.1,-49.1,
Pena, Felix,570240,2020,115,29,93.9,2133,-12.3,-17.7,84.8,2472,-2,-35.3,
Rodriguez, Joely,570257,2020,52,17,94.2,2091,13.4,-20.4,87.8,2126,-0.8,-34.5,
Valdez, Phillips,570488,2020,137,30,,,,,81.5,2428,5.7,-42.8,
Urena, Jose,570632,2020,104,15,95.6,2161,-9.9,-16.4,85.6,2375,2,-32.8,
Robles, Hansel,570663,2020,80,20,95.4,2320,-12,-13.9,88.8,2325,-1.4,-29.7,
Cessa, Luis,570666,2020,93,17,93.7,2289,-6.4,-14.8,83.6,2514,3.3,-40.4,
Boyd, Matthew,571510,2020,271,60,91.7,2305,11.2,-18.3,78,2369,-5.7,-51.3,
Corbin, Patrick,571578,2020,295,60,90.2,2158,8,-18.3,78.5,2222,-3.7,-43.9,
Farmer, Buck,571656,2020,89,14,93.2,2276,-11.5,-16,81.7,2761,2.3,-40.6,
Fiers, Mike,571666,2020,257,37,88,2157,-10.6,-18.4,80.9,2396,3.6,-38.8,
Floro, Dylan,571670,2020,98,19,93.3,2238,-11.1,-19.9,88,2098,0.4,-28.1,
Givens, Mychal,571710,2020,93,25,94.7,2416,-9.4,-17.9,84.9,2531,5.1,-33.4,
Hale, David,571735,2020,75,14,92.8,2279,-7.1,-18.5,81.6,2293,6.2,-43.8,
Heaney, Andrew,571760,2020,279,70,91.5,2436,13.8,-17.1,79.2,2550,-5.7,-47.1,
Loup, Aaron,571901,2020,96,22,,,,,77.6,2542,-16.4,-46.6,
Matz, Steven,571927,2020,142,36,,,,,80.5,2360,-10.3,-49.1,
Milner, Hoby,571948,2020,59,13,,,,,78.1,1821,-15.5,-45.5,
Paxton, James,572020,2020,90,26,92.1,2226,14.1,-18.3,79.7,2120,-5.2,-50.3,
Richards, Garrett,572070,2020,213,46,95.1,2626,0.3,-19.5,87.1,2960,4.2,-41.8,
Rosenthal, Trevor,572096,2020,91,38,97.9,2454,-5.7,-10.5,87.5,2395,5.2,-35.9,
Selman, Sam,572125,2020,82,23,91.2,2476,2.8,-17,80,2572,-12.8,-41.1,
Tepera, Ryan,572193,2020,89,31,93.5,2299,-7.7,-14.4,82.3,2357,4.7,-42.5,
Erlin, Robbie,572362,2020,122,25,89.3,2262,8.4,-17.4,75.9,2590,-7.1,-63.2,
Greene, Shane,572888,2020,109,21,92.8,2293,-7.7,-17.4,80.5,2504,14.6,-37.8,
Johnson, Pierce,572955,2020,80,27,95.5,2130,-6.1,-18.5,84.8,2969,12.9,-43.1,
Keuchel, Dallas,572971,2020,257,42,88.3,2218,2.7,-21.5,75.8,2280,-7.9,-48.3,
Rogers, Taylor,573124,2020,91,24,94.4,2166,12.8,-17,81,2614,-13.5,-41.1,
Thielbar, Caleb,573204,2020,82,22,89.8,2421,1.5,-14.3,72.2,2535,-10,-65.3,
Kikuchi, Yusei,579328,2020,194,47,95,2178,6.5,-12.1,83.3,2347,-1.6,-40.7,
Goody, Nick,580792,2020,55,13,91.6,2196,-8.1,-15,81.5,2329,7.2,-38.6,
Adam, Jason,592094,2020,58,21,94.8,2728,-7.3,-15,81.4,2832,9.1,-51.3,
Bedrosian, Cam,592135,2020,58,11,92.2,2357,-4.7,-12.5,81.2,2536,4.8,-48.7,
Brice, Austin,592169,2020,87,25,93.8,2251,-15.9,-23.2,81.7,2692,8,-41.2,
Claudio, Alex,592222,2020,81,15,85.8,2014,17.4,-33.2,76.4,2227,-6.5,-45.7,
Covey, Dylan,592229,2020,60,11,92.1,1927,-1.5,-21.4,84.9,2206,4.3,-37.2,
Crichton, Stefan,592233,2020,109,23,91.9,1930,-12,-22.4,77.8,2584,13.3,-52.9,
Gausman, Kevin,592332,2020,245,79,95.1,2313,-10.4,-14.2,81.9,2353,2.5,-40.7,
Gonzalez, Chi Chi,592346,2020,91,16,92.2,2362,-2.2,-21,81.3,2514,4.1,-42.1,
Gray, Jon,592351,2020,174,22,94,2148,-11.2,-19.6,84.4,2418,4.4,-36.4,
Hembree, Heath,592390,2020,90,20,93.9,2501,-10.4,-14,86.1,2728,5.2,-33.7,
Jackson, Luke,592426,2020,132,20,94.4,2249,-8,-12.3,85.4,2463,3.5,-45.2,
Kickham, Mike,592464,2020,70,17,89.4,2352,3.1,-22.7,82.8,2423,-8.1,-40.1,
Kolarek, Adam,592473,2020,72,13,91.2,2166,12.1,-19.6,77.6,1877,-5,-37.9,
Osich, Josh,592612,2020,86,24,92.3,2272,3.6,-22.3,76.9,2208,-1.6,-51.9,
Plutko, Adam,592644,2020,116,15,91,2293,-4.1,-15.1,77.7,2891,10.6,-53.8,
Ray, Robbie,592662,2020,251,68,93.9,2420,9.6,-14.2,85.5,2309,-0.3,-33.6,
Shreve, Chasen,592741,2020,102,34,91.7,2399,10.4,-14.6,79.8,2377,-6.1,-49.8,
Smith, Caleb,592761,2020,60,15,92.1,2498,10.3,-13.6,82.1,2564,-4,-39.2,
Smyly, Drew,592767,2020,111,42,93.8,2249,5.7,-12.8,80,2153,3.4,-46,
Velasquez, Vince,592826,2020,154,46,93.7,2435,-5.4,-12.1,84.4,2433,5.2,-42.6,
Walker, Taijuan,592836,2020,225,50,93.2,2143,-6.8,-13.2,81.8,2441,6.3,-43.7,
Wick, Rowan,592858,2020,74,20,94.9,2346,-1,-12,76.7,2718,6.7,-65,
Williams, Taylor,592865,2020,67,20,95,2308,-11.6,-19.4,85.9,2474,0.5,-35.4,
Williams, Trevor,592866,2020,252,49,91.5,2277,-3.6,-19.2,81.7,2287,7.5,-41.9,
Wojciechowski, Asher,592879,2020,168,31,90.9,2145,-5.5,-14.8,81.5,2334,10.5,-39.9,
Rodriguez, Richard,593144,2020,93,34,92.9,2543,-13.1,-15.9,81.3,2408,6.9,-46.6,
Martinez, Carlos,593372,2020,104,17,93.3,2133,-8.2,-18.4,82.7,2199,11.8,-38.7,
Montas, Frankie,593423,2020,237,60,95.9,2384,-7.6,-12,86.1,2499,5.9,-35.1,
Neris, Hector,593576,2020,103,27,93.8,2352,-10.1,-15.4,,,,,
Suero, Wander,593833,2020,102,28,,,,,77,2865,12.8,-59.2,
Peralta, Wandy,593974,2020,114,25,94.8,2185,9.4,-15.8,87.5,2284,-1.4,-31,
Mayers, Mike,594577,2020,121,43,94.2,2372,-10.3,-14.4,84.8,2139,3.5,-38.1,
Dayton, Grant,594795,2020,117,32,90.6,2223,8.3,-15.5,75.9,2441,-6.3,-60.8,
deGrom, Jacob,594798,2020,268,104,98.6,2477,-6.9,-11.4,91.9,2570,3.9,-27.8,
Gonzales, Marco,594835,2020,277,64,,,,,75.3,2294,-8.9,-62.1,
Ponce de Leon, Daniel,594965,2020,143,45,93.1,2354,-9.3,-13,77.6,2671,8.2,-61.8,
Ryan, Kyle,594986,2020,66,11,88.8,1981,3.3,-23.5,78,2244,-10.4,-49.4,
Sadler, Casey,594987,2020,86,21,93.1,2437,-7.5,-15.4,80.7,2930,10.7,-50,
Smith, Josh A.,595001,2020,121,18,90.4,2325,-3.3,-17.3,82.6,2713,10.4,-39.8,
Treinen, Blake,595014,2020,107,22,97.1,2413,-10.8,-16.2,88.4,2588,3.4,-37.8,
Winkler, Dan,595465,2020,76,18,92.9,2532,-4.5,-17.5,82,2484,9.1,-41.9,
Cole, A.J.,595918,2020,95,20,93.4,2331,-8.3,-14.3,83.2,2283,1.9,-33.9,
Curtiss, John,595928,2020,99,25,94,2309,-5.9,-14,85.2,2568,5.3,-36,
Junis, Jakob,596001,2020,114,19,91.1,2097,-4.4,-18.5,80.1,2435,16.3,-45.7,
Mengden, Daniel,596043,2020,58,10,90,2218,-9.5,-14.6,73,2573,11.7,-67.5,
Norris, Daniel,596057,2020,116,28,92.6,2444,5.2,-16.1,85.3,2571,-4.7,-37.6,
Weaver, Luke,596133,2020,236,55,94,2467,-7.4,-12.7,79,2273,3.4,-53,
Gomber, Austin,596295,2020,119,27,92.5,2151,5.6,-13.3,80.1,2407,-5.4,-52.2,
Neverauskas, Dovydas,596720,2020,89,23,94.7,2269,-7.6,-12.2,82.1,2926,6.3,-53.2,
Barnes, Matt,598264,2020,102,31,95.6,2315,-10.9,-13.2,84.6,2170,3.7,-48.6,
Ramirez, Noe,598287,2020,85,14,88.7,2183,-9.8,-22.1,76.8,2584,11.5,-48.7,
Pivetta, Nick,601713,2020,71,17,92.8,2332,-7.9,-12.4,82.3,2492,7.5,-46.4,
Barlow, Scott,605130,2020,125,39,94.9,2311,-5.9,-15,81.6,2421,10.3,-45.9,
Bassitt, Chris,605135,2020,261,55,93.3,2160,-7.8,-16.5,71,2206,12.5,-66.9,
Benjamin, Wes,605138,2020,98,21,90.9,2366,8.3,-13.5,78.6,2585,-6.4,-57.5,
Bradley, Archie,605151,2020,73,18,94.2,2214,-8.9,-14.2,80,1933,3.5,-52.2,
Brewer, Colten,605155,2020,122,25,93.9,2146,-5.2,-20.1,84,2701,8.2,-45.9,
Bundy, Dylan,605164,2020,267,72,90,2422,-4.9,-14.8,77.9,2478,5.5,-50.1,
Clevinger, Mike,605182,2020,162,40,95.1,2349,-7,-12.5,80.9,2418,10.6,-44.7,
Davies, Zach,605200,2020,276,63,,,,,74.5,2509,9.6,-60.8,
Fry, Jace,605240,2020,83,24,90.7,2282,7.4,-17.9,76.4,2156,-6.4,-59.1,
Fulmer, Michael,605242,2020,136,20,93.2,2170,-5.3,-15.6,85.9,2360,6,-33.9,
Houser, Adrian,605288,2020,246,44,93.8,2166,-6.8,-15.7,83.1,2135,5.1,-45.6,
Lopez, Jorge,605347,2020,174,28,94,1910,-9.4,-16.4,81.1,2339,7.2,-53.1,
Marshall, Evan,605359,2020,93,30,92.8,2334,-10.8,-18.3,82.1,2710,8.3,-49.9,
Morgan, Adam,605388,2020,58,16,91.7,2273,12,-17.4,81.1,2766,-8.4,-38.3,
Musgrove, Joe,605397,2020,166,55,92.6,2451,-5.6,-19.1,81.8,2692,12.2,-47.6,
Nola, Aaron,605400,2020,289,96,92.8,2184,-13.9,-18.1,78.6,2499,15.1,-54.8,
Romano, Jordan,605447,2020,57,21,96.5,2331,-5.8,-12.1,89.1,2225,3.5,-34.1,
Sneed, Cy,605482,2020,83,21,,,,,81.1,2351,9,-45.4,
Snell, Blake,605483,2020,203,63,95,2404,5.7,-11.9,83.8,2454,-6.7,-42.5,
Springs, Jeffrey,605488,2020,99,28,,,,,83,2177,-4.2,-40.9,
Tarpley, Stephen,605501,2020,53,11,91.6,2163,5.8,-20.2,78.8,2382,-12.6,-41.5,
Turnbull, Spencer,605513,2020,242,51,93.7,2500,-2.2,-19.8,84.4,2555,7.3,-41.3,
Wendelken, J.B.,605525,2020,106,31,94.6,2442,-3.2,-15.9,84.2,2548,7.3,-42.8,
Wisler, Matt,605538,2020,107,35,91.9,2098,-8.8,-15.8,81.3,2549,11.1,-42.7,
Woodruff, Brandon,605540,2020,293,91,96.6,2457,-6.6,-12.1,86.4,2555,3.3,-39.8,
Perdomo, Luis,606131,2020,74,16,93.7,1919,-11,-20.8,86.3,2335,1,-37.7,
Gallegos, Giovanny,606149,2020,57,21,93.7,2385,-9.9,-14,85.4,2407,2.3,-37.3,
Montero, Rafael,606160,2020,72,19,95.8,2284,-8.6,-14.7,85.7,2350,7.6,-34.9,
Garcia, Jarlin,606424,2020,73,14,93.7,2187,15.3,-19.4,83.5,2324,-6.6,-38.8,
Barnes, Jacob,606930,2020,78,24,95.2,2377,-3.3,-11.8,,,,,
Hart, Kyle,606996,2020,67,13,88.7,2104,5.5,-17.4,81.7,2183,-5.9,-39.7,
Rea, Colin,607067,2020,62,10,93.1,2247,-7.6,-17.3,80.5,2332,8,-51.3,
Weems, Jordan,607179,2020,58,18,95.3,2221,-7.4,-11.6,85.8,2272,6.3,-34.8,
Glasnow, Tyler,607192,2020,238,91,96.9,2409,-0.6,-11.7,82.4,2939,6.5,-58.5,
Fedde, Erick,607200,2020,222,28,93.3,1792,-5.3,-22.5,79.5,2273,12.2,-44.6,
Gsellman, Robert,607229,2020,71,9,93.8,2190,-8.5,-15.1,86.9,2433,2.3,-33.3,
Gant, John,607231,2020,61,18,94,2485,-10.8,-15.1,80.7,2594,4.7,-49.1,
Garrett, Amir,607237,2020,69,26,94.8,2217,11.2,-16.3,85,1841,-0.3,-34.5,
Tropeano, Nick,607374,2020,66,19,90.9,2250,-13.9,-18.7,78.6,2268,2,-44.7,
Mazza, Chris,607391,2020,136,29,92.4,2080,-8.3,-20.9,82.2,2388,7.8,-40.4,
Freeland, Kyle,607536,2020,304,46,92.1,2438,7.2,-18,83.6,2460,-2.9,-39.7,
Harper, Ryne,607560,2020,110,25,88.4,1830,0,-23.9,73.7,2255,12.6,-57.8,
Howard, Sam,607572,2020,90,27,92,2431,9.7,-14.3,84.6,2468,-2,-32.5,
Lugo, Seth,607625,2020,160,47,93.5,2241,-8.1,-14.4,82.5,2833,8.2,-48,
Means, John,607644,2020,176,42,93.8,2458,6.4,-11.8,82.4,2402,-9.4,-43.3,
Estevez, Carlos,608032,2020,116,27,96.9,2168,-8.7,-13.9,86.9,2309,5.1,-36.1,
Fried, Max,608331,2020,224,50,93.1,2120,1.4,-20,79,2643,-11.5,-53.9,
Funkhouser, Kyle,608335,2020,81,12,95.2,1995,-8.1,-17.8,86.3,2471,4.5,-36.8,
Giolito, Lucas,608337,2020,288,97,94,2349,-7.1,-12.5,84.4,2120,3.6,-35.9,
Knebel, Corey,608349,2020,62,15,94.3,2396,-3.9,-13.1,78.1,2721,13.1,-61.3,
Sims, Lucas,608371,2020,103,34,93.9,2771,-7.2,-12.8,82.1,3071,14.5,-44,
Wacha, Michael,608379,2020,156,37,93.6,2127,-7.9,-14.5,75.3,2195,12.8,-55.6,
Marquez, German,608566,2020,344,73,95.9,2157,-6.8,-16.1,86.5,2592,2.4,-36.7,
Duffey, Tyler,608648,2020,92,31,92.6,2291,-7,-16.1,83.5,2442,2.4,-48.1,
Graveman, Kendall,608665,2020,77,15,94.1,2422,-7.3,-14.6,81.9,2579,9.4,-44.6,
Stratton, Chris,608717,2020,131,39,93.2,2627,-4.3,-15.8,84.2,2967,9.4,-41.3,
Suter, Brent,608718,2020,129,38,85.4,2161,-3.8,-25.1,73.2,2229,-10.7,-58.2,
Voth, Austin,608723,2020,225,44,92,2246,-6.2,-15.7,78.3,2811,13.5,-49,
Castro, Miguel,612434,2020,115,38,,,,,86.8,2933,6.8,-34.1,
Quantrill, Cal,615698,2020,135,31,95,2196,-7.1,-15.7,86.1,2430,3.2,-37.2,
Reyes, Alex,621052,2020,86,27,97.5,2546,-6.2,-10.4,84.5,2825,7.5,-47.9,
Lail, Brady,621078,2020,71,12,90.1,2420,-5.1,-15,81.7,2494,5.6,-41.9,
Waguespack, Jacob,621097,2020,90,16,92.5,1990,-2,-14.5,75.8,2132,3,-55,
Eflin, Zach,621107,2020,245,70,94.3,2160,-10.8,-17.1,84.8,2259,5.4,-37.4,
Buehler, Walker,621111,2020,147,42,96.8,2546,-5.2,-9.9,83.7,3013,11.5,-49,
McCullers Jr., Lance,621121,2020,227,56,93,2056,-9.1,-19.5,83.4,2787,11.7,-50.2,
Cody, Kyle,621129,2020,92,18,94.2,2158,-7.7,-13.5,83.2,2527,4.3,-45,
Lockett, Walker,621141,2020,73,11,92.8,2259,-7.3,-23.5,80.9,2645,8.5,-47.9,
Buttrey, Ty,621142,2020,112,18,96.1,2232,-13.3,-16.5,82.2,1912,0.6,-42.9,
Mills, Alec,621219,2020,252,46,89.8,2185,-9.6,-20,71,2460,14.3,-62.7,
Diaz, Edwin,621242,2020,110,50,97.8,2359,-14.4,-15.6,89.6,2319,1.2,-29.3,
Berrios, Jose,621244,2020,271,68,94.5,2192,-10.9,-15.5,83.4,2354,14.7,-42,
Underwood Jr., Duane,621249,2020,88,27,94.5,2148,-7.8,-15.7,81.6,2299,7.1,-49.6,
Oswalt, Corey,621261,2020,55,11,92.1,2161,-11.2,-16.6,87.4,2166,-1.5,-31,
Bacus, Dakota,621290,2020,57,7,,,,,84.6,2586,4.1,-37.6,
Wittgren, Nick,621295,2020,98,28,92.9,2221,-9.8,-15.4,85.3,2493,4.7,-37.6,
Minter, A.J.,621345,2020,85,24,95.5,2320,8,-13.2,,,,,
Borucki, Ryan,621366,2020,73,21,,,,,86.6,2315,-3.3,-32.6,
Hearn, Taylor,621368,2020,76,23,94.9,2289,5.7,-12.7,83.7,2186,-5.8,-34.4,
Strahm, Matt,621381,2020,83,15,92.9,2357,14.5,-19.8,83.2,2524,-5.3,-37,
Young, Alex,622065,2020,204,39,91.2,2292,9.6,-17.4,81.6,2402,-2.7,-43.1,
Wood, Alex,622072,2020,65,15,91,2225,9.8,-18.6,84.6,2240,0.6,-38.1,
Almonte, Yency,622075,2020,113,23,94.8,2122,-7.8,-18.6,84.4,2316,5,-39,
Antone, Tejay,622088,2020,141,45,,,,,82.5,2758,9.8,-44,
Zimmer, Kyle,622092,2020,91,26,94.1,2170,-0.3,-15.7,81.2,2035,2.8,-43.7,
Staumont, Josh,622251,2020,112,37,98,2387,-4,-10,82.1,2923,9.4,-56,
Tate, Dillon,622253,2020,64,14,95.2,2056,-10.2,-16.9,85.5,2424,2.7,-33.6,
Castillo, Luis,622491,2020,292,89,97.4,2188,-11,-16.5,86.8,2489,0,-35.8,
Senzatela, Antonio,622608,2020,303,41,94.3,2144,-5.9,-20,84.5,2213,5.8,-38.7,
Hernandez, Elieser,622694,2020,106,34,91.3,2265,-7.3,-14.9,79.1,2265,11.9,-33,
Cordero, Jimmy,622772,2020,124,22,97.1,2131,-5.1,-15.9,86.5,2183,2,-39.2,
Hader, Josh,623352,2020,78,31,94.5,2063,9.9,-13.6,80.3,2498,-7.5,-42.7,
Anderson, Nick,623433,2020,58,26,95.2,2222,-6.2,-11.4,84.3,2005,2,-37.6,
Phillips, Evan,623465,2020,69,20,94.5,2247,-8.2,-14,83.6,2429,15.8,-42,
Newberry, Jake,623470,2020,94,24,93.4,2403,-2.6,-15.2,83.3,2590,5,-40.6,
Herget, Jimmy,623474,2020,87,17,93.5,2345,-14.8,-20.8,81.7,2599,6.6,-39.5,
Castellani, Ryan,624418,2020,189,25,92.5,2349,-10.5,-19.4,82.3,2498,6.5,-43.4,
Hoyt, James,624586,2020,62,20,87.8,2341,-10.1,-18.9,80.5,2744,2.3,-41,
Gonzalez, Victor,624647,2020,80,23,95.1,2235,16.5,-20,84.4,2536,-3.1,-38.7,
Lopez, Reynaldo,625643,2020,121,24,94.2,2138,-7.2,-13.8,82.1,2075,4.2,-39.8,
Thorpe, Lewis,626929,2020,77,10,89.7,1958,7.2,-18.5,79.9,2152,-6.8,-44.5,
Maeda, Kenta,628317,2020,248,80,91.6,2269,-7.8,-17.1,82.5,2513,3.5,-35,
