"","last_name","first_name","year","batters_facing","strikeouts","average_spin","percent_strikeout"
"458","Patino"," Luis",2020,85,21,2468,24.7058823529412
"459","Hirano"," Yoshihisa",2020,63,11,2117,17.4603174603175
"460","Karinchak"," James",2020,109,53,2396,48.6238532110092
"461","Howard"," Spencer",2020,113,23,2345,20.353982300885
"462","Heuer"," Codi",2020,92,25,2305,27.1739130434783
"463","Elledge"," Seth",2020,52,14,NA,26.9230769230769
"464","Fleming"," Josh",2020,130,25,1952,19.2307692307692
"465","Zuber"," Tyler",2020,99,30,2243,30.3030303030303
"466","Margevicius"," Nick",2020,170,36,2126,21.1764705882353
"467","Dobnak"," Randy",2020,200,27,2052,13.5
"468","Gerber"," Joey",2020,62,6,2246,9.67741935483871
"469","Yamaguchi"," Shun",2020,120,26,2129,21.6666666666667
